epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,114.145,2.93541,1.75079,0.93786,0.73666,0.07174,0.08724,0.0281,3.40537,1.87152,0.92828,0.000577782,0.000577782,0.000577782
68,115.382,2.8563,1.70913,0.93796,0.74157,0.08199,0.09871,0.03297,3.29757,1.82146,0.92115,0.000561279,0.000561279,0.000561279
69,117.122,2.95319,1.75373,0.93177,0.74157,0.08199,0.09871,0.03297,3.29757,1.82146,0.92115,0.000544776,0.000544776,0.000544776
70,119.098,2.85851,1.71188,0.9063,0.74016,0.09811,0.11171,0.04159,3.06095,1.7575,0.90909,0.000528272,0.000528272,0.000528272
71,120.806,3.34556,1.96462,0.91507,0.74016,0.09811,0.11171,0.04159,3.06095,1.7575,0.90909,0.000511769,0.000511769,0.000511769
72,122.337,3.07289,2.11929,0.90282,0.75481,0.10615,0.12141,0.04549,2.96061,1.73232,0.90521,0.000495266,0.000495266,0.000495266
73,123.775,3.03968,1.84138,0.90199,0.75481,0.10615,0.12141,0.04549,2.96061,1.73232,0.90521,0.000478762,0.000478762,0.000478762
74,125.238,2.90206,1.77636,0.90073,0.74447,0.11066,0.12359,0.04509,2.9533,1.70777,0.90586,0.000462259,0.000462259,0.000462259
75,126.555,2.88867,1.76528,0.90281,0.74447,0.11066,0.12359,0.04509,2.9533,1.70777,0.90586,0.000445756,0.000445756,0.000445756
76,128.106,2.9868,1.88199,0.8917,0.73944,0.10395,0.11862,0.04074,3.01725,1.7016,0.9092,0.000429253,0.000429253,0.000429253
77,129.747,2.89634,1.78236,0.88257,0.73944,0.10395,0.11862,0.04074,3.01725,1.7016,0.9092,0.000412749,0.000412749,0.000412749
78,131.934,3.10739,1.87618,0.88842,0.73137,0.10214,0.11425,0.04016,3.04603,1.69933,0.91065,0.000396246,0.000396246,0.000396246
79,133.483,2.98323,1.78838,0.90393,0.73137,0.10214,0.11425,0.04016,3.04603,1.69933,0.91065,0.000379743,0.000379743,0.000379743
80,134.979,3.1159,2.02085,0.89636,0.72969,0.10176,0.11376,0.04103,3.03428,1.69349,0.90581,0.000363239,0.000363239,0.000363239
81,136.311,2.81735,1.71334,0.88948,0.72969,0.10176,0.11376,0.04103,3.03428,1.69349,0.90581,0.000346736,0.000346736,0.000346736
82,137.809,2.96526,1.89442,0.89565,0.73838,0.10939,0.1199,0.04549,2.96524,1.68062,0.90211,0.000330233,0.000330233,0.000330233
83,139.309,2.87253,1.82409,0.90601,0.73838,0.10939,0.1199,0.04549,2.96524,1.68062,0.90211,0.000313729,0.000313729,0.000313729
84,141.107,3.08692,1.83462,0.88095,0.7381,0.10648,0.12057,0.04568,2.94136,1.67734,0.90053,0.000297226,0.000297226,0.000297226
85,142.849,2.8114,1.68924,0.8819,0.7381,0.10648,0.12057,0.04568,2.94136,1.67734,0.90053,0.000280723,0.000280723,0.000280723
86,144.956,3.08261,1.8546,0.89552,0.74173,0.11127,0.12343,0.04678,2.90989,1.66557,0.89888,0.00026422,0.00026422,0.00026422
87,146.404,3.05914,1.82018,0.88641,0.74173,0.11127,0.12343,0.04678,2.90989,1.66557,0.89888,0.000247716,0.000247716,0.000247716
88,147.661,2.90729,1.78001,0.8797,0.74196,0.11201,0.12179,0.04494,2.91083,1.6635,0.89788,0.000231213,0.000231213,0.000231213
89,148.97,2.92767,1.69695,0.89245,0.74196,0.11201,0.12179,0.04494,2.91083,1.6635,0.89788,0.00021471,0.00021471,0.00021471
90,150.553,2.87057,1.73637,0.90524,0.74031,0.10761,0.11838,0.04274,2.96081,1.65819,0.89912,0.000198206,0.000198206,0.000198206
91,156.534,2.65136,1.65179,0.89063,0.74031,0.10761,0.11838,0.04274,2.96081,1.65819,0.89912,0.000181703,0.000181703,0.000181703
92,159.456,3.21747,2.69401,0.88267,0.73438,0.10542,0.11403,0.04057,3.01497,1.66716,0.90124,0.0001652,0.0001652,0.0001652
93,161.411,2.7259,1.62181,0.90293,0.73438,0.10542,0.11403,0.04057,3.01497,1.66716,0.90124,0.000148696,0.000148696,0.000148696
94,162.683,2.58477,2.60421,0.88354,0.73074,0.10395,0.11315,0.03841,3.06997,1.67995,0.90278,0.000132193,0.000132193,0.000132193
95,164.353,2.82429,1.73194,0.89608,0.73074,0.10395,0.11315,0.03841,3.06997,1.67995,0.90278,0.00011569,0.00011569,0.00011569
96,165.936,2.73377,1.77652,0.90964,0.73398,0.10615,0.11599,0.03838,3.07447,1.67929,0.90359,9.91865e-05,9.91865e-05,9.91865e-05
97,167.296,2.75389,1.79733,0.89206,0.73398,0.10615,0.11599,0.03838,3.07447,1.67929,0.90359,8.26832e-05,8.26832e-05,8.26832e-05
98,169.715,2.78592,1.72148,0.90029,0.74539,0.10615,0.11825,0.03915,3.05506,1.67784,0.90161,6.61799e-05,6.61799e-05,6.61799e-05
99,171.066,2.74515,1.71721,0.88454,0.74539,0.10615,0.11825,0.03915,3.05506,1.67784,0.90161,4.96766e-05,4.96766e-05,4.96766e-05
100,172.593,2.90453,1.76375,0.88025,0.74135,0.10761,0.11739,0.03987,3.03396,1.68193,0.89963,3.31733e-05,3.31733e-05,3.31733e-05
